timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1673704024664,143,/get_method,200,OK,Group_31 1-1,text,true,,169,151,3,3,http://162.55.220.72:5005/get_method?name=Alona&age=32,143,0,78
1673704024733,125,/get_method,200,OK,Group_31 1-2,text,true,,169,151,4,4,http://162.55.220.72:5005/get_method?name=Alona&age=32,124,0,60
1673704024779,125,/get_method,200,OK,Group_31 1-3,text,true,,169,151,4,4,http://162.55.220.72:5005/get_method?name=Alona&age=32,124,0,61
1673704024811,125,/user_info_2,200,OK,Group_31 1-1,text,true,,464,248,5,5,http://162.55.220.72:5005/user_info_2,124,0,62
1673704024843,136,/get_method,200,OK,Group_31 1-4,text,true,,169,151,6,6,http://162.55.220.72:5005/get_method?name=Alona&age=32,135,0,71
1673704024860,128,/user_info_2,200,OK,Group_31 1-2,text,true,,464,248,6,6,http://162.55.220.72:5005/user_info_2,128,0,64
1673704024904,127,/user_info_2,200,OK,Group_31 1-3,text,true,,464,248,7,7,http://162.55.220.72:5005/user_info_2,127,0,62
1673704024907,128,/get_method,200,OK,Group_31 1-5,text,true,,169,151,7,7,http://162.55.220.72:5005/get_method?name=Alona&age=32,128,0,64
1673704024936,128,/user_info_3,200,OK,Group_31 1-1,text,true,,370,248,7,7,http://162.55.220.72:5005/user_info_3,128,0,62
1673704024970,129,/get_method,200,OK,Group_31 1-6,text,true,,169,151,8,8,http://162.55.220.72:5005/get_method?name=Alona&age=32,129,0,65
1673704024979,129,/user_info_2,200,OK,Group_31 1-4,text,true,,464,248,8,8,http://162.55.220.72:5005/user_info_2,129,0,64
1673704024990,128,/user_info_3,200,OK,Group_31 1-2,text,true,,370,248,8,8,http://162.55.220.72:5005/user_info_3,128,0,63
1673704025032,133,/get_method,200,OK,Group_31 1-7,text,true,,169,151,9,9,http://162.55.220.72:5005/get_method?name=Alona&age=32,133,0,62
1673704025032,133,/user_info_3,200,OK,Group_31 1-3,text,true,,370,248,9,9,http://162.55.220.72:5005/user_info_3,133,0,63
1673704025036,130,/user_info_2,200,OK,Group_31 1-5,text,true,,464,248,9,9,http://162.55.220.72:5005/user_info_2,130,0,66
1673704025065,133,/object_info_1,200,OK,Group_31 1-1,text,true,,230,164,9,9,http://162.55.220.72:5005/object_info_1?name=Alona&age=32&weight=60,133,0,64
1673704025095,126,/get_method,200,OK,Group_31 1-8,text,true,,169,151,10,10,http://162.55.220.72:5005/get_method?name=Alona&age=32,126,0,62
1673704025100,125,/user_info_2,200,OK,Group_31 1-6,text,true,,464,248,10,10,http://162.55.220.72:5005/user_info_2,125,0,61
1673704025109,137,/user_info_3,200,OK,Group_31 1-4,text,true,,370,248,10,10,http://162.55.220.72:5005/user_info_3,137,0,75
1673704025120,130,/object_info_1,200,OK,Group_31 1-2,text,true,,230,164,10,10,http://162.55.220.72:5005/object_info_1?name=Alona&age=32&weight=60,129,0,64
1673704025159,126,/get_method,200,OK,Group_31 1-9,text,true,,169,151,11,11,http://162.55.220.72:5005/get_method?name=Alona&age=32,126,0,62
